parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape,evidence_set
tp,h0,prefill,overall,all,243,0.04140766929608543,0.03308452160006369,0.028898986078419186,0.028557348894040328,0.2928775354554075,0.14643876772770376,0.013908660251815171,0.028346201564105757,0.02836422496061973,new_confirmation
tp,h0,prefill,model,deepseek-v2-lite,81,0.041407669296085504,0.033084521600063754,0.02889898607841922,0.028557348894040366,0.29041983200731214,0.14520991600365607,0.014028718644557446,0.02824062222604406,0.028303263910652635,new_confirmation
tp,h0,prefill,model,qwen3-30b-a3b,81,0.04140766929608547,0.03308452160006376,0.028898986078419155,0.028557348894040303,0.2904198320073121,0.14520991600365604,0.014028718644557452,0.028240622226043975,0.02830326391065254,new_confirmation
tp,h0,prefill,model,qwen3-8b,81,0.04140766929608532,0.033084521600063546,0.028898986078419186,0.02855734889404033,0.2977929423515982,0.1488964711757991,0.01366854346633061,0.028557360240229236,0.028428562470746405,new_confirmation
tp,h0,prefill,policy,balanced,81,0.023299234466513857,0.024004383567253016,0.028898986078419203,0.02855734889404034,0.2919951341928466,0.1459975670964233,0.01342696812638262,0.028374841580403168,0.028338191994072583,new_confirmation
tp,h0,prefill,policy,latency,81,0.022180245604813475,0.02292893759315169,0.028898986078419175,0.028557348894040314,0.27510472436801825,0.13755236218400912,0.012037066981081486,0.027859375028321358,0.02812129359634858,new_confirmation
tp,h0,prefill,policy,throughput,81,0.07874352781692896,0.08797264840483054,0.028898986078419182,0.02855734889404033,0.3115327478053576,0.1557663739026788,0.016261945647981405,0.028804388083592744,0.028639685198223443,new_confirmation
tp,h0,prefill,parallel_size,2,81,0.04140766929608543,0.03308452160006369,0.028898986078419186,0.02855734889404033,0.29287753545540746,0.14643876772770373,0.013908660251815171,0.028346201564105757,0.02836422496061973,new_confirmation
tp,h0,prefill,parallel_size,4,81,0.04140766929608543,0.03308452160006369,0.028898986078419186,0.02855734889404033,0.29287753545540746,0.14643876772770373,0.013908660251815171,0.028346201564105757,0.02836422496061973,new_confirmation
tp,h0,prefill,parallel_size,8,81,0.04140766929608543,0.03308452160006369,0.028898986078419186,0.02855734889404033,0.29287753545540746,0.14643876772770373,0.013908660251815171,0.028346201564105757,0.02836422496061973,new_confirmation
tp,h0,prefill,source,burstgpt,243,0.04140766929608543,0.03308452160006369,0.028898986078419186,0.028557348894040328,0.2928775354554075,0.14643876772770376,0.013908660251815171,0.028346201564105757,0.02836422496061973,new_confirmation
tp,h0,decode,overall,all,243,0.21871025126409285,0.16537976204677968,0.02679836411740243,0.012127575613830847,0.4286240049828927,0.21431200249144636,0.02035048257838296,0.20808003597601013,0.15750748375080284,new_confirmation
